id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,renewal
60058,1,9864,153090,0,0,0,,2,A,Urban,7500,1
23725,0.71,17534,450120,1,0,0,99.42,16,B,Rural,13800,1
64864,0.113,12781,92010,0,0,0,97.14,12,A,Urban,5700,1
9390,0.004,27384,90050,0,0,0,99.89,11,A,Rural,5400,1
105577,0.76,14607,142510,0,0,0,99,10,C,Urban,9600,1
91510,0.622,17900,134700,0,0,0,98.79,8,A,Urban,1200,1
43156,0.087,24465,312560,0,0,0,99.54,7,A,Urban,15900,1
47360,0.154,17527,217640,1,0,0,98.91,11,C,Urban,5400,1
76804,0.329,17534,141020,0,0,0,99.07,7,D,Rural,3300,1
11415,0.207,15339,172570,0,0,0,99,10,D,Urban,1200,1
23947,0.198,16804,138070,0,0,0,98.34,9,D,Urban,5400,1
43606,0.846,17897,216080,0,0,0,99.03,10,B,Urban,24300,1
74512,0.003,21905,165030,0,0,0,99.36,14,A,Rural,13800,1
32750,0,17899,61230,0,0,1,97.76,9,B,Urban,3300,1
81859,0.251,18630,336100,0,0,0,99.29,7,D,Rural,32700,1
31819,0.069,18258,464850,0,0,0,99.28,8,D,Urban,32700,1
91234,0,22641,360100,1,1,0,99.62,12,D,Rural,20100,1
59923,0.007,18263,133610,0,0,0,99.18,6,A,Rural,5400,1
16299,0.117,14608,217590,1,0,0,99.16,8,C,Rural,9600,1
58547,0.751,29576,117030,0,0,0,97.14,12,A,Urban,5400,1
107093,0.008,29208,200080,0,0,0,,5,A,Rural,15900,1
45464,0.028,20090,240050,0,0,0,99.53,8,A,Urban,11700,1
13859,0.219,20814,162130,1,0,0,99.06,14,A,Rural,7500,1
53217,0.707,19720,186050,1,0,0,98.65,19,A,Urban,9600,1
81543,0.064,26286,97650,0,0,0,99.44,10,B,Urban,11700,1
49245,0.421,18992,390120,0,0,0,99.09,20,B,Rural,13800,0
111284,0.172,19357,90110,0,0,0,99.85,5,C,Rural,3300,1
480,0.486,15345,213240,0,0,0,98.5,9,D,Urban,13800,1
6405,1,8040,43320,0,0,0,,2,A,Urban,5700,1
26110,0.003,34325,70060,0,0,0,,7,A,Urban,5700,1
75081,0.1,24099,113940,0,0,0,99.2,6,A,Rural,3300,1
91634,0.029,23732,92550,0,0,0,99.89,6,A,Urban,5400,1
12144,0,16438,177140,0,0,1,99.41,8,D,Rural,3300,1
92540,0.667,18257,90130,0,0,0,98.99,6,A,Urban,7500,1
72165,0.051,22271,135300,0,0,0,98.39,16,A,Rural,5400,1
17234,0.689,24102,39090,0,0,0,96.61,10,A,Urban,5700,1
34991,0.067,17899,270590,0,0,0,99.77,6,B,Rural,7500,1
45953,0.11,20814,300050,0,0,0,99.75,8,D,Rural,20100,1
34994,0.789,23739,131880,0,1,0,99.11,14,A,Urban,7500,1
108766,0.05,19724,135070,0,0,0,98.56,15,A,Rural,3300,1
13376,0.041,23737,90100,0,0,0,99.88,5,B,Urban,3300,1
57392,0.855,24825,271640,3,0,1,98.69,7,A,Urban,32700,1
79297,0,14612,175070,1,0,0,98.29,12,C,Urban,11700,1
15276,0.552,19357,381270,0,0,0,98.6,12,A,Urban,22200,1
23017,0.166,18261,255090,0,0,0,98.71,16,D,Rural,9600,1
97773,0.111,26651,146570,0,0,0,99.32,7,A,Rural,5400,1
109337,0.823,16436,25140,0,0,0,96.28,16,B,Rural,5700,1
20375,0.654,20450,247210,0,0,0,98.9,13,A,Rural,11700,1
68272,0.1,11320,116830,0,0,0,99.53,6,A,Urban,5400,1
104566,0.073,25564,186220,0,0,0,99.87,6,A,Urban,13800,1
67414,0.1,17166,315110,0,0,0,99.46,27,A,Rural,28500,1
98777,0.148,23000,126450,0,0,0,97.41,11,A,Urban,7500,1
56288,0.683,20817,105080,1,0,0,98.39,12,B,Urban,1200,1
16227,0.002,12785,200120,0,0,0,99.54,13,D,Urban,11700,1
37815,1,12418,36070,0,2,0,,2,A,Urban,1200,1
88191,0.015,21911,345050,0,0,0,99.6,10,A,Rural,13800,1
2394,0.514,18630,310540,0,0,1,99.23,7,A,Rural,13800,1
107692,0.028,29574,101980,0,0,0,99.88,7,A,Rural,5400,1
3721,0.718,14250,135780,0,0,0,99.45,8,A,Urban,7500,1
23171,0.061,28479,295620,0,0,0,98.87,21,A,Urban,11700,1
2562,0.049,19719,42060,0,0,0,97.11,23,B,Urban,3300,1
104953,0.992,19360,144670,1,0,0,98.77,11,D,Urban,7500,1
23792,0,16074,78110,0,0,0,98.8,5,A,Rural,5400,1
13976,0,19358,226340,0,0,0,99,9,A,Urban,13800,1
60523,0.77,15345,761390,0,0,0,99.55,8,D,Urban,28500,1
74820,0.297,15337,167830,0,0,0,99.35,9,B,Rural,13800,1
64657,0.007,18624,220020,0,0,0,99.56,9,A,Urban,7500,1
86804,0.002,13155,82890,0,0,0,99.51,8,B,Urban,3300,1
109292,0.74,13146,175580,0,1,0,98.42,9,A,Urban,7500,1
18375,0.029,21544,138050,0,0,0,99.27,12,C,Urban,9600,1
74467,0.734,16433,141530,0,0,0,98.54,15,C,Rural,1200,0
48192,0.006,10590,100140,0,0,0,99.56,7,A,Urban,5400,1
13822,0.001,25560,84080,0,0,0,98.69,9,A,Urban,5700,1
91384,0.82,17533,241110,0,0,0,98.93,15,C,Rural,3300,1
52484,0.016,26650,120130,0,0,0,99.48,8,A,Urban,3300,1
53822,0,21550,210890,0,0,0,98.77,13,D,Rural,18000,1
103311,0.034,13145,125110,0,0,0,99.39,6,A,Rural,9600,1
60837,0.085,27388,626020,0,0,0,99.7,6,A,Urban,3300,1
10058,1,10226,220710,1,0,0,99.42,8,A,Rural,11700,1
96817,0.026,13878,87570,0,0,0,97.87,9,A,Urban,5400,1
33666,0.527,25198,49260,3,0,0,96.51,14,A,Urban,1200,1
26745,0.632,17526,147090,0,0,0,98.47,11,A,Rural,7500,1
113150,0.302,18259,261050,0,0,0,99.11,12,C,Urban,13800,1
107262,0.75,17533,185070,0,0,0,99.19,11,B,Urban,11700,1
51958,0.016,29208,117060,0,0,0,99.88,6,A,Urban,5400,1
74498,0.238,17900,156050,0,0,0,99.88,7,C,Urban,7500,1
57382,0.479,21913,186510,0,0,0,99.36,9,A,Urban,5400,1
14194,0.02,12781,99110,0,0,0,98.91,15,A,Rural,7500,1
16571,0.574,11686,270110,0,0,0,98.73,14,A,Urban,13800,1
89243,0,23371,625140,0,0,0,99.39,21,D,Urban,26400,1
46749,0.236,15708,165150,0,0,0,98.07,17,C,Urban,1200,1
103538,0.033,18626,423070,0,0,0,99.27,13,B,Urban,39000,1
38490,0.08,14980,191400,0,0,0,98.3,12,C,Rural,3300,1
90130,0.443,16795,258080,0,0,0,98.46,9,D,Rural,3300,1
85299,1,13519,171970,1,0,0,99.51,5,B,Rural,9600,1
104590,1,13155,316620,0,0,0,99.23,10,A,Urban,13800,1
36062,0.911,17535,201060,0,0,0,99.04,12,A,Urban,20100,1
109000,0.99,16440,266810,0,0,0,96.59,17,B,Urban,13800,1
75654,1,10956,41350,1,1,0,99.34,3,B,Urban,1200,1
89282,0.535,15708,69040,0,0,0,99.27,6,C,Urban,5700,0
89775,0.649,21549,199380,0,0,0,97.32,14,A,Rural,11700,1
47176,0.055,32863,342480,0,0,0,99.88,8,A,Urban,22200,1
12905,0.026,24833,127460,0,0,0,99.33,15,A,Rural,7500,1
12703,0.044,24826,102120,0,0,0,99.62,10,A,Urban,5400,1
105703,0.192,21541,162080,0,0,0,99.22,9,B,Rural,11700,1
54704,0.951,7670,93110,0,0,0,99.88,3,A,Rural,3300,1
48981,0.01,32499,125070,0,0,0,99.89,10,A,Rural,7500,1
102375,1,24096,42080,0,0,1,99.4,8,A,Urban,5400,1
66143,0.65,11686,100370,0,0,0,99.38,11,B,Urban,7500,1
102001,0.2,17535,240060,0,0,0,99.57,8,D,Rural,26400,1
15510,0.703,17166,167630,0,0,0,98.43,15,B,Urban,5700,1
107350,0.298,20449,295080,2,0,0,99.08,26,B,Rural,13800,1
33635,0.242,19355,300120,0,0,0,98.51,14,D,Rural,11700,1
67488,0.227,10593,142630,0,0,0,99.64,13,A,Urban,11700,1
107913,0.102,20080,240100,0,0,0,99.18,12,A,Rural,11700,1
13445,0.165,18257,570080,0,0,0,99.43,14,D,Rural,36900,1
48539,0.783,27021,437550,0,0,0,99.09,12,A,Urban,26400,1
3588,0.368,17525,278260,0,0,0,99.86,7,A,Rural,11700,1
10352,0.907,9868,105130,0,0,0,98.67,8,A,Urban,9600,1
43183,0.2,13877,138160,1,0,0,99.56,10,D,Urban,3300,1
23954,0.013,22277,500110,0,0,0,99.71,10,A,Urban,26400,1
108752,0.01,16070,270090,0,0,0,98.49,8,C,Rural,7500,1
57999,0.052,25190,110100,0,0,0,99.88,7,A,Rural,11700,1
55055,0.658,10965,63280,0,0,0,99.03,10,A,Urban,5400,1
22892,0.606,13884,68110,2,0,1,99.1,11,B,Urban,5400,1
101425,0.962,10592,240090,2,0,0,99.71,5,A,Rural,9600,1
18945,0.026,21908,435060,0,0,0,,16,B,Rural,30600,1
15444,0.053,28112,60080,0,0,0,99.84,7,A,Urban,5700,1
72488,0.409,24104,360100,0,0,0,98.94,15,B,Urban,24300,1
45985,1,17526,150060,0,3,0,99.75,3,A,Urban,9600,1
92307,0.022,20446,210070,0,0,0,99.88,12,D,Urban,22200,1
609,0.026,21546,299470,0,0,0,98.82,17,A,Urban,32700,1
10680,1,12060,93060,0,0,0,99.89,5,A,Urban,3300,1
104677,0.03,15338,272420,0,0,0,97.45,12,C,Urban,18000,1
52089,0.234,14245,120080,0,0,0,99.49,11,C,Rural,7500,1
81479,0.363,23734,553300,0,0,0,99.4,15,A,Rural,32700,1
30694,0.109,23010,165130,0,0,0,98.94,9,A,Rural,1200,1
58701,0.018,22271,517560,1,0,0,98.95,11,B,Rural,36900,1
49166,1,15343,150140,0,0,0,,2,C,Urban,11700,0
44800,0,18623,180070,0,0,0,99.83,4,C,Rural,7500,0
96809,1,19350,33080,0,1,0,98.44,4,B,Rural,5700,1
65301,0.005,22641,224250,0,0,0,98.97,12,C,Urban,9600,1
106185,0.002,23371,315040,0,0,0,99.47,9,A,Urban,20100,1
1399,0.413,14246,207370,0,0,0,98.84,9,C,Urban,3300,1
35795,0.008,20445,315100,0,0,0,99.89,8,A,Rural,26400,1
101825,0.362,10600,185120,0,0,0,98.72,10,A,Rural,5400,1
111568,0.197,28477,60150,0,0,0,99.23,10,A,Urban,3300,1
18875,0.017,22641,81130,0,0,0,99.88,9,A,Urban,5400,1
43195,0.036,18262,261690,0,0,0,99.29,10,B,Rural,28500,1
22491,0.097,22278,222930,0,0,0,98.81,11,A,Urban,9600,1
70795,0.019,18629,150200,0,0,0,99.35,9,A,Urban,1200,1
106914,0.413,16440,110480,0,0,0,98.95,11,A,Urban,7500,1
25119,0.562,17897,2814090,0,0,0,99.81,19,C,Rural,60000,1
50904,0.909,15344,215690,1,0,1,99.07,8,E,Urban,11700,1
93884,0.488,22280,500070,0,0,0,98.69,22,B,Urban,24300,1
44254,0.048,16797,127560,0,0,0,99.86,7,A,Urban,11700,1
107398,0.2,17894,387650,0,0,0,99.38,10,A,Urban,20100,1
107947,0.495,17535,150430,0,0,0,98.16,16,D,Rural,9600,1
70905,0.83,14246,180140,0,0,0,99.61,7,D,Urban,13800,1
97581,0.072,21541,96100,0,0,0,98.08,6,A,Rural,5400,1
40572,0.758,15702,138360,0,0,0,98.73,10,C,Rural,11700,1
36893,0.068,14609,97600,0,0,0,99.4,10,A,Urban,5400,1
71886,0.175,12790,210080,0,0,0,99.35,17,A,Urban,13800,1
67762,0.075,20449,222620,0,0,0,98.32,22,A,Urban,18000,1
92497,0.14,17168,240030,0,0,0,99.08,12,D,Urban,11700,1
44253,0.383,20820,141630,0,0,0,99.32,9,A,Urban,7500,1
23032,0.017,20084,60050,0,0,0,95.9,10,A,Urban,1200,1
88860,0,20818,303130,0,0,0,99.46,13,A,Urban,5400,1
18022,0.508,15345,525080,0,0,0,99.5,11,B,Rural,57900,1
67503,0.074,23730,42050,0,0,0,99.1,6,A,Urban,5700,1
13195,0.419,12053,170110,0,0,0,99.22,12,A,Rural,1200,1
87022,0.423,16070,216070,0,0,0,99.69,11,C,Urban,11700,0
35466,0.054,16068,250130,0,0,0,99.16,15,A,Urban,7500,1
9448,0.054,13517,97550,0,0,0,99.02,13,A,Urban,5400,1
12315,0.003,33594,180140,0,0,0,,8,A,Urban,11700,1
75213,0.2,21542,139350,0,0,0,98.91,7,B,Urban,11700,1
6810,0.012,21905,105670,0,0,0,99.54,24,B,Urban,5400,0
73988,0.262,19357,85030,4,0,0,98.54,18,A,Urban,9600,0
50754,0.006,25930,96660,0,0,0,99.88,6,A,Urban,3300,1
39438,0.046,14613,520080,0,0,0,99.55,8,B,Rural,5400,1
27425,1,10959,186110,1,2,2,99.73,5,A,Rural,13800,1
9818,0.002,15704,212590,0,0,0,99.76,6,A,Rural,3300,1
88787,0.075,18265,178840,0,0,0,98.72,15,D,Urban,9600,1
72135,0,20820,104280,0,0,0,99.13,8,A,Rural,1200,1
69703,0.295,18630,234060,0,0,1,99.27,7,A,Urban,18000,1
22545,0.057,18260,127560,1,0,0,99.09,12,C,Urban,1200,1
51130,1,9138,65600,0,0,0,99.67,5,A,Rural,7500,1
93213,0.338,18265,231120,0,0,0,99.84,8,A,Rural,3300,1
49591,0.274,26293,167370,1,0,0,98.45,18,A,Urban,7500,1
9660,0.687,15703,200100,2,0,0,99.35,11,A,Rural,20100,1
22489,0.044,27023,165150,0,0,0,99.87,7,A,Urban,7500,1
96584,0.33,10593,28530,0,0,0,99.32,8,A,Rural,1200,1
16732,0.423,17525,78030,0,0,0,99.32,6,A,Urban,3300,1
106282,0.046,17164,354720,0,0,0,99.12,9,D,Rural,15900,1
61903,0.495,17164,207140,0,0,0,99.12,10,D,Rural,5400,1
20732,0.622,21911,251120,2,2,1,98.44,15,A,Urban,1200,0
28640,0.665,16437,240150,0,0,0,98.06,12,C,Urban,3300,1
103242,0.731,10592,220050,0,0,0,99.66,7,A,Urban,18000,1
62884,0.005,14976,227810,0,0,0,99.16,14,A,Urban,11700,1
84825,0.07,20811,327530,2,0,0,99.74,12,A,Urban,24300,1
96213,0.972,18263,165070,0,0,0,99.54,6,D,Rural,7500,1
106647,0.013,25561,247780,0,0,0,99.42,12,A,Urban,18000,1
108511,0.078,19358,191370,0,0,0,99.04,10,D,Urban,13800,1
105516,0.57,20451,255030,0,0,0,99.55,10,B,Urban,13800,1
40378,0.014,14615,298590,0,0,0,99.32,7,D,Rural,11700,1
14491,0.085,22636,186150,0,0,0,99.87,8,A,Rural,13800,1
47488,0.064,13512,300150,0,0,0,99.63,6,D,Rural,9600,1
31572,1,10233,180040,0,0,0,,4,B,Urban,7500,1
72794,0,12786,182630,0,0,0,99.46,8,A,Urban,9600,1
77836,0.023,25923,219120,0,0,0,99.89,8,A,Urban,15900,1
51475,0.343,25192,112640,0,0,0,98.3,20,A,Urban,3300,1
80319,1,11686,93060,0,0,0,,2,C,Urban,7500,1
11613,0.199,18986,131080,0,0,0,99.22,13,D,Rural,5400,1
27512,0.017,21177,138030,0,0,0,99.46,25,A,Rural,7500,1
88096,0.03,21178,275040,0,0,0,99.22,26,C,Urban,28500,1
4474,0.041,20088,168560,0,0,0,98.92,23,B,Urban,11700,1
8458,0.113,26286,149580,0,0,0,98.45,16,B,Rural,5400,1
8870,0,17529,180070,0,0,0,99.74,8,B,Urban,9600,1
36101,0.058,21179,810130,0,0,0,99.66,8,B,Urban,57900,1
82928,0.01,23009,581820,0,0,0,99.29,13,A,Urban,51600,1
28203,0.259,19358,444100,0,0,0,98.66,10,B,Urban,34800,1
74695,0.244,12787,150050,0,0,0,98.67,10,A,Urban,7500,1
58062,0.232,20819,264090,0,0,0,99.14,13,A,Urban,9600,1
51247,1,17891,159010,0,0,0,99.56,3,A,Urban,5400,1
91451,0.655,12782,118590,0,0,0,99.22,8,C,Rural,1200,1
57427,0.061,23370,520060,0,0,0,99.34,17,B,Rural,11700,1
13618,0.011,20813,272910,0,0,0,99.89,10,B,Urban,13800,1
38541,0.779,17525,120050,0,0,0,98.86,8,A,Urban,5400,1
45098,0.012,22277,192110,0,0,0,99.7,11,A,Urban,1200,1
34435,0.041,20811,264930,0,0,0,99.23,10,B,Urban,18000,1
65210,0.416,13515,162630,0,0,0,99.16,13,B,Urban,7500,1
3607,0,16070,147640,1,0,0,98.63,9,B,Urban,1200,1
21563,0.915,20818,255130,0,0,0,99.22,7,C,Urban,18000,1
82310,0.044,23010,248030,0,0,0,99.35,14,A,Urban,13800,1
52222,0.005,27749,61580,0,0,0,,7,A,Urban,5400,1
47642,0.062,21915,120060,0,0,0,99.84,7,C,Urban,5400,1
19352,0.441,17898,195150,0,0,0,99.36,21,B,Urban,7500,1
81986,0.003,14979,225070,0,0,0,99.81,9,D,Urban,3300,1
84259,0.34,26295,141970,0,0,0,98.92,14,B,Urban,11700,1
4908,0.721,24827,135100,0,0,0,99.81,4,A,Urban,7500,1
10782,0.114,22277,132610,0,0,0,98.1,10,A,Rural,9600,1
60258,0.014,30675,235190,0,0,0,99.72,9,A,Urban,1200,1
41036,0.77,11320,164190,0,0,0,99.28,10,A,Urban,11700,1
97475,0.187,12784,126030,0,0,0,98.35,7,A,Urban,7500,1
87496,0.38,17162,228880,0,0,0,98.36,12,C,Urban,11700,1
85417,0.531,24095,415110,0,0,0,98.48,20,A,Urban,24300,1
102072,0.373,28479,149050,0,0,0,98.95,9,A,Urban,7500,1
26662,0.02,23372,240080,0,0,0,99.89,12,A,Urban,15900,1
22891,0,13515,150050,0,0,0,99.07,11,A,Rural,5400,1
95073,0.566,17896,102090,0,0,2,98.39,8,A,Urban,7500,1
99553,0,20446,454390,0,0,0,98.97,8,A,Urban,28500,1
45723,0.448,27755,141080,0,0,0,98.09,14,B,Urban,3300,1
107032,0.201,14242,150090,0,0,0,99.3,4,A,Rural,5400,1
12756,0.255,14246,350070,0,0,0,99.07,9,B,Urban,1200,1
6309,0,28120,126130,0,0,0,99.18,7,B,Rural,7500,1
82033,0.371,18259,400030,0,0,0,98.68,14,A,Urban,26400,1
84863,0,15704,96070,0,0,0,99.46,13,C,Urban,5400,1
112223,0.112,20446,331550,0,0,0,99.25,12,A,Urban,13800,1
15941,0.19,21185,205530,0,0,0,96.03,21,C,Rural,24300,1
50475,0.949,11330,105150,0,0,0,98.2,11,A,Urban,1200,1
78103,0.492,18256,540110,0,1,0,99.42,14,C,Rural,3300,1
77155,0.739,12051,54080,0,0,0,99.52,6,B,Urban,3300,1
36245,0.699,17527,405040,0,0,0,,13,B,Urban,18000,0
69837,0.024,23372,315140,0,0,0,99.67,22,A,Urban,3300,1
47616,0.86,18993,210090,0,0,0,97.28,20,B,Urban,13800,0
61225,0.03,20080,194090,0,0,0,99.25,13,C,Rural,5400,1
21580,0.726,17163,227130,1,0,0,99.43,12,A,Rural,13800,1
9952,0.038,21912,207040,0,0,0,99.25,24,B,Urban,18000,1
4940,0.788,31035,176270,0,0,0,99.66,4,A,Urban,9600,1
40025,0.652,18255,156090,0,1,0,99.08,10,D,Rural,9600,1
83539,0.904,17530,186330,0,0,0,98.65,11,A,Urban,9600,1
75761,0.346,11330,210110,0,0,0,99.68,8,A,Urban,9600,1
12940,0,23734,153060,0,0,0,99.61,9,A,Urban,7500,1
66703,0.345,23001,132540,0,0,0,98.8,21,A,Rural,1200,1
28160,0.16,23002,131430,0,0,0,98.84,16,A,Rural,7500,1
8861,0.061,23369,199100,0,0,0,99.14,8,B,Urban,9600,1
90736,0.372,12416,156060,0,0,1,98.61,14,A,Rural,1200,1
60843,1,9495,171150,0,0,0,99.69,6,C,Urban,7500,1
78730,0.567,21545,242850,0,0,0,98.79,14,B,Urban,9600,1
96862,0.074,15702,465840,0,0,0,98.77,12,C,Urban,30600,1
94649,0.276,16434,113640,0,0,0,98.34,18,A,Urban,7500,1
59439,0.819,14609,173450,0,0,0,99.01,4,A,Rural,15900,1
111116,0,23735,80460,0,0,0,99.67,5,A,Urban,7500,1
14066,0.003,25197,93530,0,0,0,99.54,20,A,Urban,1200,1
44000,0.097,19719,260040,1,0,0,99.44,11,A,Rural,22200,1
84879,0.063,18256,246900,0,0,0,97.03,16,A,Rural,9600,1
53773,0,14615,297150,0,0,0,99.02,7,B,Rural,15900,1
111730,1,16802,72610,0,0,0,99.57,3,B,Urban,5400,1
95891,0.097,18624,375050,0,0,0,98.81,20,A,Rural,26400,1
17145,0.682,16433,108110,0,2,0,98.76,5,A,Rural,5400,0
102664,0.004,20090,480120,0,0,0,99.15,20,D,Urban,32700,1
24646,0.111,10956,190110,1,0,0,99.77,16,C,Rural,22200,0
53806,0.014,24101,337390,1,0,0,99.56,19,A,Urban,15900,1
69733,0.003,19722,494870,1,0,0,,6,A,Urban,11700,1
26786,0.062,14245,270110,0,0,1,99.28,12,E,Urban,11700,1
108268,0.049,17169,130860,0,0,0,99.12,16,A,Rural,7500,1
58668,0.125,20818,425040,0,0,0,99.63,15,C,Urban,1200,1
102845,0.122,16802,57330,0,0,0,99.16,8,D,Urban,1200,1
10819,0.029,27752,200520,0,0,0,99.45,10,B,Urban,11700,1
53349,0.043,25190,195120,0,0,0,99.88,6,B,Urban,3300,1
1915,0.923,18261,189090,1,2,1,99.71,6,A,Urban,9600,0
78971,0.516,14608,72540,4,1,0,99.86,9,C,Rural,1200,1
83088,0.064,21183,200040,0,0,0,99.59,10,A,Urban,7500,1
42767,0.122,13515,117830,0,0,0,98.57,10,B,Rural,13800,1
75352,0.181,24096,291140,0,0,1,97.57,23,A,Rural,20100,0
92026,1,15705,108140,1,0,0,99.51,4,C,Urban,1200,1
81435,0.287,19723,210090,0,0,0,98.77,15,B,Urban,18000,1
16814,0.99,20455,85130,0,1,0,97.79,8,A,Rural,5400,1
48012,0.496,15704,115080,2,0,0,97.28,19,C,Urban,11700,0
41931,1,14250,102050,0,0,0,99.66,4,D,Urban,3300,1
112230,0.41,23000,447150,0,0,0,99.3,18,C,Urban,20100,1
88205,0.491,12424,130100,0,0,0,99.28,8,D,Rural,5400,1
40854,0.182,20812,350080,0,0,0,99.6,19,B,Rural,1200,1
53481,0.049,18257,270120,0,0,0,99.3,10,A,Rural,26400,1
27312,0.012,24464,236630,0,0,0,99.48,13,A,Urban,9600,1
35077,0.946,20455,128500,0,0,0,98.39,5,A,Rural,1200,1
3928,0.04,24464,140130,0,0,0,99.82,6,A,Urban,11700,1
48682,0.987,19722,195100,4,2,3,98.65,13,C,Rural,7500,0
2201,0.241,20083,45130,0,0,0,98.98,6,A,Urban,1200,1
85419,0.574,17892,100120,0,0,1,99.16,11,D,Urban,3300,1
110639,1,13517,112630,0,3,0,99.37,5,D,Urban,13800,0
41458,0.205,24104,194880,0,0,0,98.66,19,B,Rural,5700,1
27422,0.017,22280,210120,0,0,0,99.32,10,A,Urban,13800,1
95019,0.118,26293,53900,0,0,0,98.63,11,B,Urban,3300,1
93867,0.037,18990,156080,2,0,0,98.82,19,A,Rural,5400,1
6022,0.802,16073,201140,1,0,0,99.67,8,C,Urban,9600,1
13131,0.753,24834,251080,0,0,0,98.18,27,B,Urban,7500,1
41464,1,9860,75100,0,1,0,99.72,2,A,Rural,3300,1
35663,0.41,18995,306070,1,0,0,98.99,11,D,Urban,24300,1
96963,0.052,22273,181990,0,0,0,99.42,6,A,Rural,9600,1
3010,0.045,31397,330050,0,0,0,99.58,13,A,Urban,13800,1
79827,0.167,17162,214550,0,0,0,99.25,8,A,Rural,1200,1
52159,0.615,19719,101010,1,0,0,98.39,12,D,Rural,3300,1
38753,0.295,22275,219540,0,0,0,99.02,19,B,Rural,11700,0
23338,0.009,12787,222040,0,0,0,99.82,15,D,Urban,9600,1
100546,0.065,27025,128050,0,0,0,99.86,8,A,Rural,9600,1
66864,0.027,24461,198070,0,0,0,99.64,10,A,Rural,1200,1
80034,0,14608,152550,0,0,0,98.68,10,C,Rural,3300,1
63205,0.178,20810,197990,0,0,0,99.63,11,A,Rural,22200,1
100286,0.803,9863,141090,0,0,0,99.69,8,A,Urban,7500,1
22135,0.008,26654,48090,0,0,0,99.89,5,A,Urban,3300,1
37619,0.054,25922,50950,0,0,0,99.85,11,A,Rural,5400,1
37152,0.019,23733,175160,0,0,0,99.48,10,B,Urban,3300,1
4952,0.509,13155,179500,0,0,0,98.58,7,B,Urban,9600,1
58963,0.118,12058,127540,0,0,0,98.42,12,A,Rural,7500,1
103482,0.024,24099,150090,0,0,0,98.86,18,A,Urban,7500,1
96844,0,13145,128200,0,0,0,98.13,5,B,Urban,9600,1
90723,0.365,19353,276070,0,0,0,98.98,10,C,Urban,5400,1
2346,0.43,16067,327090,0,0,0,99.68,7,D,Urban,18000,1
12003,0.101,24828,284720,0,0,0,99.17,14,A,Urban,18000,1
31579,0.101,28478,154920,0,0,0,98.81,9,B,Rural,7500,1
11796,0.241,16440,153510,0,0,0,99.29,11,B,Rural,11700,1
27109,0.982,21541,103850,0,0,0,99.33,11,A,Urban,3300,0
33245,0.05,12051,240120,0,0,0,99,19,D,Urban,18000,1
67738,0.002,16436,54280,0,0,0,,4,A,Rural,1200,1
1012,0.071,20818,335340,1,0,0,98.8,19,C,Urban,18000,1
697,0.046,17532,150050,0,0,0,99.28,10,B,Urban,9600,1
7030,0.003,23736,180070,0,0,0,,11,A,Urban,11700,1
92346,0.127,11328,43650,0,0,0,99.17,11,A,Urban,5700,1
100646,0,29580,111150,0,0,0,99.4,10,B,Urban,7500,1
27194,0.164,18261,540070,0,0,0,99.37,14,D,Rural,22200,1
9306,0,19355,279080,0,0,0,98.84,9,B,Urban,26400,1
84340,0.365,17892,38920,0,0,0,95.7,6,A,Rural,1200,0
23175,0.03,22275,306590,0,0,0,97.55,20,A,Urban,20100,0
51080,0.052,19717,215410,0,0,0,98.88,13,A,Rural,3300,1
62797,0.421,16804,430270,0,0,0,99.21,10,E,Urban,24300,1
44376,0.009,10598,132100,0,0,0,,6,A,Urban,5400,1
73150,0.029,17164,180080,0,0,0,99.89,4,A,Rural,11700,1
56229,0.083,18990,164550,0,0,0,98.94,15,D,Urban,11700,1
107244,0.097,23736,61920,0,0,0,99.44,10,A,Urban,5400,1
58727,0.907,22636,50290,2,0,0,98.33,14,A,Rural,5400,0
87495,0.035,18623,220190,0,0,0,99.43,8,B,Urban,24300,1
101022,0,12058,130980,0,0,0,99.61,5,A,Rural,11700,1
81685,0.039,15701,930060,1,0,1,99.74,11,B,Urban,60000,0
4368,0.303,21915,163390,0,0,0,99.47,8,B,Urban,7500,1
91735,0.001,18629,180050,0,0,0,98.95,6,D,Rural,9600,1
78544,0,23734,200120,0,0,0,98.94,12,A,Rural,3300,1
84143,0.137,14250,275110,1,0,0,99.24,12,D,Rural,7500,1
32164,0.453,21177,195130,0,0,1,99.28,15,A,Urban,9600,1
10354,0.187,21185,165120,0,0,0,99.79,7,A,Rural,11700,1
93198,0.244,17533,258080,0,0,0,99.49,17,C,Rural,3300,0
35618,0.418,16069,150150,1,0,0,98.83,9,C,Rural,9600,1
88798,0.076,22276,414050,0,0,0,99.53,7,C,Urban,32700,1
43236,0.88,16434,182530,0,0,0,99.18,7,C,Urban,22200,1
9170,0,18621,121090,0,0,0,99.73,10,C,Urban,1200,1
65687,0.026,27383,114070,0,0,0,99.33,8,B,Urban,1200,1
1845,0.08,20446,527540,0,0,0,99.5,12,B,Urban,32700,1
785,1,13150,116910,0,3,1,99.84,3,B,Urban,7500,1
10541,0.003,28120,61750,0,0,0,99.68,6,A,Urban,5400,1
24390,0.819,9134,141130,0,0,0,99.67,11,B,Urban,7500,1
